 5.00000000e-01  5.00000000e-01  5.00000000e-01  8.52143330e-02 
 6.00000000e-01  6.00000000e-01  6.00000000e-01  1.88285124e-01 
 7.00000000e-01  7.00000000e-01  7.00000000e-01  3.23820952e-01 
 8.00000000e-01  8.00000000e-01  8.00000000e-01  4.70691662e-01 
 9.00000000e-01  9.00000000e-01  9.00000000e-01  6.09129005e-01 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  7.36216912e-01 
 1.10000000e+00  1.10000000e+00  1.10000000e+00  8.55051253e-01 
 1.20000000e+00  1.20000000e+00  1.20000000e+00  9.67904043e-01 
 1.30000000e+00  1.30000000e+00  1.30000000e+00  1.00197167e+00 
 1.40000000e+00  1.40000000e+00  1.40000000e+00  1.00355141e+00 
 1.50000000e+00  1.50000000e+00  1.50000000e+00  1.00472700e+00 
 1.60000000e+00  1.60000000e+00  1.60000000e+00  1.00576287e+00 
 1.70000000e+00  1.70000000e+00  1.70000000e+00  1.00671704e+00 
 1.80000000e+00  1.80000000e+00  1.80000000e+00  1.00761518e+00 
 1.90000000e+00  1.90000000e+00  1.90000000e+00  1.00847125e+00 
 2.00000000e+00  2.00000000e+00  2.00000000e+00  1.00929219e+00 
 2.10000000e+00  2.10000000e+00  2.10000000e+00  1.01008229e+00 
 2.20000000e+00  2.20000000e+00  2.20000000e+00  1.01084476e+00 
 2.30000000e+00  2.30000000e+00  2.30000000e+00  1.01158274e+00 
 2.40000000e+00  2.40000000e+00  2.40000000e+00  1.01230004e+00 
 2.50000000e+00  2.50000000e+00  2.50000000e+00  1.01300200e+00 
 2.60000000e+00  2.60000000e+00  2.60000000e+00  1.01369659e+00 
 2.70000000e+00  2.70000000e+00  2.70000000e+00  1.01439561e+00 
 2.80000000e+00  2.80000000e+00  2.80000000e+00  1.01511636e+00 
 2.90000000e+00  2.90000000e+00  2.90000000e+00  1.01588371e+00 
 3.00000000e+00  3.00000000e+00  3.00000000e+00  1.01673294e+00 
 3.10000000e+00  3.10000000e+00  3.10000000e+00  1.01771372e+00 
 3.20000000e+00  3.20000000e+00  3.20000000e+00  1.01889574e+00 
 3.30000000e+00  3.30000000e+00  3.30000000e+00  1.02037658e+00 
 3.40000000e+00  3.40000000e+00  3.40000000e+00  1.02229182e+00 
 3.50000000e+00  3.50000000e+00  3.50000000e+00  1.02482657e+00 
 3.60000000e+00  3.60000000e+00  3.60000000e+00  1.02822603e+00 
 3.70000000e+00  3.70000000e+00  3.70000000e+00  1.03280473e+00 
 3.80000000e+00  3.80000000e+00  3.80000000e+00  1.03896416e+00 
 3.90000000e+00  3.90000000e+00  3.90000000e+00  1.04726570e+00 
 4.00000000e+00  4.00000000e+00  4.00000000e+00  1.05881997e+00 
 4.10000000e+00  4.10000000e+00  4.10000000e+00  1.08082143e+00 
 4.20000000e+00  4.20000000e+00  4.20000000e+00  1.65801110e+00 
 4.30000000e+00  4.30000000e+00  4.30000000e+00  2.01485406e+00 
 4.40000000e+00  4.40000000e+00  4.40000000e+00  2.39174346e+00 
 4.50000000e+00  4.50000000e+00  4.50000000e+00  2.78143399e+00 
 4.60000000e+00  4.60000000e+00  4.60000000e+00  3.17291347e+00 
 4.70000000e+00  4.70000000e+00  4.70000000e+00  3.54484254e+00 
 4.80000000e+00  4.80000000e+00  4.80000000e+00  3.85709738e+00 
 4.90000000e+00  4.90000000e+00  4.90000000e+00  4.07968431e+00 
 5.00000000e+00  5.00000000e+00  5.00000000e+00  4.25227009e+00 
 5.00000000e-01  5.00000000e-01  5.00000000e-01  8.52143330e-02 
 6.00000000e-01  6.00000000e-01  6.00000000e-01  1.88285124e-01 
 7.00000000e-01  7.00000000e-01  7.00000000e-01  3.23820952e-01 
 8.00000000e-01  8.00000000e-01  8.00000000e-01  4.70691662e-01 
 9.00000000e-01  9.00000000e-01  9.00000000e-01  6.09129005e-01 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  7.36216912e-01 
 1.10000000e+00  1.10000000e+00  1.10000000e+00  8.55051253e-01 
 1.20000000e+00  1.20000000e+00  1.20000000e+00  9.67904043e-01 
 1.30000000e+00  1.30000000e+00  1.30000000e+00  1.00197167e+00 
 1.40000000e+00  1.40000000e+00  1.40000000e+00  1.00355141e+00 
 1.50000000e+00  1.50000000e+00  1.50000000e+00  1.00472700e+00 
 1.60000000e+00  1.60000000e+00  1.60000000e+00  1.00576287e+00 
 1.70000000e+00  1.70000000e+00  1.70000000e+00  1.00671704e+00 
 1.80000000e+00  1.80000000e+00  1.80000000e+00  1.00761518e+00 
 1.90000000e+00  1.90000000e+00  1.90000000e+00  1.00847125e+00 
 2.00000000e+00  2.00000000e+00  2.00000000e+00  1.00929219e+00 
 2.10000000e+00  2.10000000e+00  2.10000000e+00  1.01008229e+00 
 2.20000000e+00  2.20000000e+00  2.20000000e+00  1.01084476e+00 
 2.30000000e+00  2.30000000e+00  2.30000000e+00  1.01158274e+00 
